576	0.04%	84.66%	0.01%	0.01%
577	0.04%	84.77%	0.02%	0.01%
578	0.03%	84.79%	0.02%	0.01%
579	0.03%	84.67%	0.03%	0.01%
580	0.03%	84.43%	0.04%	0.01%
581	0.03%	84.21%	0.05%	0.01%
582	0.03%	83.89%	0.06%	0.01%
583	0.02%	83.50%	0.07%	0.01%
584	0.02%	83.09%	0.08%	0.01%
585	0.02%	82.70%	0.10%	0.01%
586	0.02%	82.36%	0.11%	0.01%
587	0.02%	82.09%	0.13%	0.01%
588	0.02%	81.91%	0.14%	0.01%
589	0.02%	81.81%	0.16%	0.01%
590	0.02%	81.76%	0.17%	0.01%
591	0.02%	81.73%	0.19%	0.01%
592	0.02%	81.68%	0.21%	0.01%
593	0.02%	81.57%	0.23%	0.01%
594	0.02%	81.34%	0.26%	0.01%
595	0.02%	80.95%	0.29%	0.01%
596	0.02%	80.33%	0.32%	0.01%
597	0.02%	79.42%	0.37%	0.01%
598	0.02%	78.12%	0.42%	0.01%
599	0.02%	76.35%	0.50%	0.01%
600	0.02%	74.01%	0.59%	0.01%
601	0.02%	70.99%	0.71%	0.01%
602	0.02%	67.24%	0.86%	0.01%
603	0.02%	62.73%	1.07%	0.01%
604	0.02%	57.50%	1.34%	0.01%
605	0.02%	51.68%	1.71%	0.01%
606	0.02%	45.46%	2.22%	0.01%
607	0.02%	39.10%	2.90%	0.01%
608	0.02%	32.86%	3.85%	0.01%
609	0.02%	26.99%	5.15%	0.01%
610	0.02%	21.71%	6.92%	0.01%
611	0.02%	17.13%	9.30%	0.01%
612	0.02%	13.30%	12.47%	0.01%
613	0.02%	10.21%	16.58%	0.01%
614	0.02%	7.77%	21.78%	0.01%
615	0.02%	5.89%	28.14%	0.01%
616	0.02%	4.47%	35.63%	0.01%
617	0.02%	3.41%	44.10%	0.01%
618	0.02%	2.61%	53.24%	0.01%
619	0.02%	2.02%	62.62%	0.01%
620	0.02%	1.58%	71.74%	0.01%
621	0.03%	1.24%	79.73%	0.01%
622	0.03%	0.98%	86.51%	0.01%
623	0.03%	0.78%	91.84%	0.01%
624	0.04%	0.62%	95.69%	0.01%
625	0.04%	0.50%	98.17%	0.01%
626	0.05%	0.40%	99.51%	0.01%
627	0.05%	0.32%	100.00%	0.01%
628	0.05%	0.26%	99.92%	0.01%
629	0.05%	0.20%	99.51%	0.01%
630	0.05%	0.16%	98.95%	0.01%
631	0.05%	0.13%	98.36%	0.01%
632	0.04%	0.10%	97.79%	0.01%
633	0.04%	0.08%	97.28%	0.01%
634	0.04%	0.06%	96.83%	0.01%
635	0.03%	0.05%	96.42%	0.01%
636	0.03%	0.04%	96.04%	0.01%
637	0.03%	0.03%	95.69%	0.01%
638	0.02%	0.03%	95.36%	0.01%
639	0.02%	0.02%	95.05%	0.01%
640	0.02%	0.02%	94.74%	0.01%
641	0.02%	0.01%	94.69%	0.01%
642	0.01%	0.01%	94.64%	0.01%
643	0.01%	0.01%	94.55%	0.01%
644	0.01%	0.01%	94.44%	0.01%
645	0.01%	0.01%	94.30%	0.01%
646	0.01%	0.01%	94.12%	0.01%
647	0.01%	0.01%	93.93%	0.01%
648	0.02%	0.01%	93.72%	0.01%
649	0.02%	0.00%	93.51%	0.01%
650	0.02%	0.00%	93.31%	0.01%
651	0.03%	0.00%	93.10%	0.01%
652	0.05%	0.00%	92.90%	0.01%
653	0.07%	0.00%	92.69%	0.01%
654	0.10%	0.00%	92.45%	0.01%
655	0.15%	0.00%	92.18%	0.01%
656	0.20%	0.00%	91.88%	0.01%
657	0.25%	0.00%	91.53%	0.01%
658	0.30%	0.00%	91.13%	0.01%
659	0.34%	0.00%	90.69%	0.01%
660	0.35%	0.00%	90.22%	0.01%
661	0.35%	0.00%	89.60%	0.01%
662	0.32%	0.00%	88.96%	0.01%
663	0.28%	0.00%	88.32%	0.01%
664	0.22%	0.00%	87.69%	0.01%
665	0.17%	0.00%	87.05%	0.01%
666	0.12%	0.00%	86.41%	0.01%
667	0.09%	0.00%	85.78%	0.01%
668	0.06%	0.00%	85.13%	0.01%
669	0.04%	0.00%	84.45%	0.01%
670	0.03%	0.00%	83.75%	0.01%
671	0.02%	0.00%	83.00%	0.01%
672	0.01%	0.00%	82.20%	0.00%
673	0.01%	0.00%	81.35%	0.00%
674	0.01%	0.00%	80.44%	0.00%
675	0.01%	0.00%	79.47%	0.00%
676	0.01%	0.00%	78.46%	0.00%
677	0.01%	0.00%	77.41%	0.00%
678	0.01%	0.00%	76.35%	0.00%
679	0.01%	0.00%	75.29%	0.00%
680	0.01%	0.00%	74.23%	0.00%
681	0.01%	0.00%	73.57%	0.00%
682	0.01%	0.00%	72.92%	0.00%
683	0.01%	0.00%	72.25%	0.00%
684	0.01%	0.00%	71.53%	0.00%
685	0.01%	0.00%	70.70%	0.00%
686	0.01%	0.00%	69.67%	0.00%
687	0.01%	0.00%	68.37%	0.00%
688	0.02%	0.00%	66.69%	0.00%
689	0.02%	0.00%	64.52%	0.00%
690	0.03%	0.00%	61.79%	0.00%
691	0.04%	0.00%	58.45%	0.00%
692	0.05%	0.00%	54.48%	0.00%
693	0.06%	0.00%	49.96%	0.01%
694	0.07%	0.00%	44.98%	0.01%
695	0.08%	0.00%	39.71%	0.01%
696	0.08%	0.00%	34.35%	0.02%
697	0.08%	0.00%	29.11%	0.03%
698	0.08%	0.00%	24.19%	0.03%
699	0.07%	0.00%	19.74%	0.04%
700	0.06%	0.00%	15.84%	0.05%
701	0.05%	0.00%	12.54%	0.06%
702	0.04%	0.00%	9.82%	0.07%
703	0.04%	0.00%	7.63%	0.08%
704	0.03%	0.00%	5.91%	0.09%
705	0.02%	0.00%	4.56%	0.10%
706	0.02%	0.00%	3.53%	0.11%
707	0.01%	0.00%	2.74%	0.11%
708	0.01%	0.00%	2.13%	0.12%
709	0.01%	0.00%	1.67%	0.13%
710	0.01%	0.00%	1.31%	0.14%
711	0.00%	0.00%	1.04%	0.15%
712	0.00%	0.00%	0.83%	0.16%
